		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24414.046875	M = 12500000	N = 8	m = 9	n = 100000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
010101111 24433 24213 24408 24400 24317 24658 24475 24317  5.214390 0.734435 SUCCESS  63
010110011 24335 24404 24221 24525 24433 24615 24719 24462  8.132897 0.420597 SUCCESS  64
010110111 24455 24539 24494 24151 24398 24180 24408 24244  7.493169 0.484474 SUCCESS  65
010111011 24114 24804 24307 24484 24467 24114 24408 24580 16.050763 0.041659 SUCCESS  66
010111111 24484 24288 24539 24232 24358 24478 24554 24459  4.167804 0.841675 SUCCESS  67
011000111 24421 24239 24642 24455 24450 24615 24479 24378  5.572180 0.695031 SUCCESS  68
011001111 24404 24238 24555 24511 24467 24353 24389 24403  2.865738 0.942498 SUCCESS  69
011010111 24279 24516 24493 24440 24543 24340 24287 24612  4.786483 0.780134 SUCCESS  70
011011111 24540 24499 24400 24344 24207 24086 24197 24448  9.614295 0.293147 SUCCESS  71
011101111 24440 24596 24455 24767 24595 24051 24427 24572 14.815536 0.062833 SUCCESS  72
011111111 24512 24243 24447 24433 24464 24559 24407 24641  4.887469 0.769533 SUCCESS  73
100000000 24339 24421 24200 24336 24436 24427 24500 24403  2.785503 0.947089 SUCCESS  74
100010000 24318 24329 24543 24381 24295 24273 24554 24673  6.562135 0.584524 SUCCESS  75
100100000 24544 24426 24271 24402 24639 24403 24550 24278  5.310928 0.723885 SUCCESS  76
100101000 24241 24494 24444 24141 24366 24558 24444 24494  6.020741 0.644908 SUCCESS  77
100110000 24550 24307 24317 24701 24493 24400 24369 24619  7.294208 0.505248 SUCCESS  78
100111000 24692 24526 24277 24530 24453 24315 24486 24539  6.530259 0.588053 SUCCESS  79
101000000 24388 24369 24351 24173 24421 24286 24491 24366  3.790159 0.875542 SUCCESS  80
101000100 24325 24296 24468 24384 24587 24555 24559 24362  4.201888 0.838464 SUCCESS  81
101001000 24614 24503 24274 24433 24369 24595 24630 24410  6.324995 0.610878 SUCCESS  82
101001100 24359 24387 24470 24546 24464 24283 24256 24780  8.595068 0.377597 SUCCESS  83
101010000 24548 24489 24310 24467 24459 24090 24522 24114 10.417989 0.236905 SUCCESS  84
101010100 24455 24079 24385 24460 24401 24548 24389 24500  6.059198 0.640601 SUCCESS  85
101011000 24434 24703 24248 24594 24227 24622 24442 24288 10.114922 0.257052 SUCCESS  86
101011100 24530 24428 24372 24297 24599 24324 24627 24365  5.049199 0.752305 SUCCESS  87
101100000 24108 24416 24070 24318 24229 24236 24328 24412 12.481785 0.130967 SUCCESS  88
101100100 24118 24563 24555 24279 24434 24344 24281 24385  7.278012 0.506956 SUCCESS  89
101101000 24400 24558 24526 24501 24527 24539 24593 24375  4.361006 0.823173 SUCCESS  90
101101100 24253 24431 24592 24208 24133 24409 24297 24304  8.692345 0.368910 SUCCESS  91
101110000 24401 24621 24354 23993 24217 24298 24593 24421 13.059657 0.109813 SUCCESS  92
101110100 24616 24457 24649 24449 24473 24456 24407 24548  5.180743 0.738095 SUCCESS  93
101111000 24309 24395 24429 24711 24595 24349 24264 24270  7.627748 0.470651 SUCCESS  94
101111100 24308 24350 24080 24736 24364 24328 24313 24597 12.039777 0.149438 SUCCESS  95
110000000 24250 24573 24079 24364 24561 24550 24095 24359 13.211554 0.104775 SUCCESS  96
110000010 24475 24503 24200 24331 24418 24518 24347 24265  4.316020 0.827545 SUCCESS  97
110000100 24544 24208 24479 24302 24329 24299 24377 24430  4.160930 0.842320 SUCCESS  98
110001000 24258 24459 24841 24687 24506 24407 24513 24557 13.637680 0.091712 SUCCESS  99
110001010 24418 24244 24474 24400 24502 24200 24324 24336  4.256788 0.833244 SUCCESS 100
110010000 24158 24332 24653 24540 24532 24366 24579 24496  8.278529 0.406746 SUCCESS 101
110010010 24441 24625 24416 24230 24726 24824 24393 24547 15.362193 0.052474 SUCCESS 102
110010100 24372 24589 24325 24318 24313 24428 24349 24343  2.932403 0.938528 SUCCESS 103
110011000 24575 24268 24359 24913 24706 24254 24482 24322 17.927975 0.021773 SUCCESS 104
110011010 24613 24239 24260 24467 24481 24428 24430 24406  4.311020 0.828029 SUCCESS 105
110100000 24510 24286 24213 24401 24555 24652 24372 24404  6.124168 0.633325 SUCCESS 106
110100010 24330 24573 24647 24332 24322 24304 24388 24588  6.136813 0.631910 SUCCESS 107
110100100 24409 24588 24253 24322 24323 24187 24491 24397  5.539281 0.698684 SUCCESS 108
110101000 24558 24538 24433 24385 24437 24183 24430 24161  6.587453 0.581724 SUCCESS 109
110101010 24180 24010 24341 24600 24456 24667 24564 24268 15.570070 0.048964 SUCCESS 110
110101100 24422 24700 24275 24634 24350 24608 24663 24556 11.582804 0.170811 SUCCESS 111
110110000 24409 24288 24301 24352 24343 24294 24181 24355  4.651821 0.794059 SUCCESS 112
110110010 24147 24331 24416 24066 24290 24497 24342 24093 13.976012 0.082393 SUCCESS 113
110110100 24399 24556 24638 24518 24581 24320 24434 24536  5.648635 0.686523 SUCCESS 114
110111000 24614 24660 24497 24078 24147 24157 24683 24484 18.425250 0.018255 SUCCESS 115
110111010 24346 24471 24892 24646 24519 24161 24340 24358 15.836148 0.044786 SUCCESS 116
110111100 24419 24402 24669 24708 24681 24284 24188 24158 15.100026 0.057229 SUCCESS 117
111000000 24410 24549 24273 24177 24283 24454 24354 24415  4.943781 0.763568 SUCCESS 118
111000010 24615 24382 24391 24233 24011 24289 24227 24656 14.672847 0.065828 SUCCESS 119
111000100 24529 24522 24794 24392 24641 24398 24576 24445 10.535358 0.229441 SUCCESS 120
111000110 24385 24529 24595 24450 24423 24671 24352 24428  5.009616 0.756548 SUCCESS 121
111001000 24407 24181 24389 24406 24314 24200 24641 24397  6.892062 0.548322 SUCCESS 122
111001010 24368 24482 24510 24308 24597 24300 24496 24385  3.441425 0.903688 SUCCESS 123
111001100 24541 24368 24420 24752 24835 24442 24406 24333 13.434543 0.097747 SUCCESS 124
111010000 24498 24256 24316 24646 24413 24640 24434 24473  6.370762 0.605776 SUCCESS 125
111010010 24437 24303 24400 24474 24192 24179 24513 24478  5.723044 0.678223 SUCCESS 126
111010100 24330 24653 24541 24513 24190 24616 24727 24085 16.407137 0.036910 SUCCESS 127
111010110 24410 24482 24307 24414 24661 24220 24411 24282  5.599978 0.691940 SUCCESS 128
111011000 24394 24339 24487 24462 24493 24146 24162 24601  8.058885 0.427739 SUCCESS 129
111011010 24264 24633 24442 24439 24369 24225 24507 24628  6.949951 0.542042 SUCCESS 130
111011100 24676 24521 24410 24301 24493 24309 24522 24376  5.220606 0.733758 SUCCESS 131
111100000 24378 24477 24354 24420 24218 24460 24125 24127  9.125518 0.331818 SUCCESS 132
111100010 24508 24325 24671 24439 24645 24114 24309 24345 10.277057 0.246116 SUCCESS 133
111100100 24219 24253 24234 24149 24399 24499 24272 24615  9.941306 0.269170 SUCCESS 134
111100110 24476 24280 24497 24923 24654 24472 24091 24401 19.200034 0.013826 SUCCESS 135
111101000 24412 24402 24287 24372 24323 24642 24588 24568  5.603911 0.691502 SUCCESS 136
111101010 24299 24400 24436 24466 24391 24690 24716 24406  7.818178 0.451430 SUCCESS 137
111101100 24303 24009 24583 24343 24575 24318 24309 24397 10.864669 0.209486 SUCCESS 138
111101110 24648 24422 24540 24411 24391 24387 24562 24515  4.406779 0.818685 SUCCESS 139
111110000 24320 24370 24331 24338 24380 24358 24052 24111 10.620513 0.224142 SUCCESS 140
111110010 24304 24147 24214 24439 24347 24518 24331 24666  8.886182 0.351988 SUCCESS 141
111110100 24509 24564 24429 24377 24343 24309 24510 24522  2.967427 0.936385 SUCCESS 142
111110110 24347 24331 24546 24512 24334 24308 24415 24494  2.645604 0.954595 SUCCESS 143
111111000 24483 24352 24707 24352 24508 24249 24249 24089 11.322049 0.184111 SUCCESS 144
111111010 24407 24520 24364 24416 24350 24460 24669 24638  5.726031 0.677889 SUCCESS 145
111111100 24374 24312 24404 24291 24589 24336 24284 24468  3.549560 0.895309 SUCCESS 146
111111110 24512 24243 24447 24433 24464 24559 24407 24641  4.887469 0.769533 SUCCESS 147

